"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_id","Answer.survey code","Approve","Reject"
"30EV7DWJTVQ29LACL5GKY9DRF2XY6X","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:08:49 PDT 2019","","","30JNVC0ORAFBJS11GGVV6YV2WR1HQ7","A2EMGX33TN9BFU","Rejected","Thu Apr 25 22:11:58 PDT 2019","Thu Apr 25 23:04:14 PDT 2019","Thu May 02 23:04:14 PDT 2019","","Fri Apr 26 09:08:48 PDT 2019","You did not follow the instructions or you were not instructing the chatbot to perform image edits.","3136","0% (0/1)","0% (0/1)","0% (0/1)","000000580238","50fab677-8f17-bf43-88ff-0ae8b6b11ddf"
"30EV7DWJTVQ29LACL5GKY9DRF2XY6X","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:08:49 PDT 2019","","","3KMS4QQVK3L5UTC08LNY7R7GH9VKFP","A20N1NK5X5S88F","Approved","Fri Apr 26 09:08:58 PDT 2019","Fri Apr 26 09:57:35 PDT 2019","Fri May 03 09:57:35 PDT 2019","Fri Apr 26 14:24:38 PDT 2019","","","2917","100% (1/1)","100% (1/1)","100% (1/1)","000000580238","b3bcb889-64c8-25d0-678a-4d9e6515b82c"
"3RWSQDNYL9HSSNMSH8R03UJO2QBFFL","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:09:10 PDT 2019","","","337RC3OW06X5AWG8T0434DNHU4VLVQ","A2IPN3YPD207EY","Approved","Fri Apr 26 09:49:10 PDT 2019","Fri Apr 26 10:10:40 PDT 2019","Fri May 03 10:10:40 PDT 2019","Fri Apr 26 14:24:38 PDT 2019","","","1290","100% (1/1)","100% (1/1)","100% (1/1)","000000571694","13b40217-0378-6950-2ea9-cf3a21096677"
"3RWSQDNYL9HSSNMSH8R03UJO2QBFFL","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:09:10 PDT 2019","","","3RANCT1ZVGCTK85WXX54UOPT4ZLUBS","A2J5XTBTEKX0T4","Rejected","Thu Apr 25 20:59:31 PDT 2019","Thu Apr 25 21:40:19 PDT 2019","Thu May 02 21:40:19 PDT 2019","","Fri Apr 26 09:09:09 PDT 2019","""******"" is not the survey code. Click on the red button to get it.","2448","0% (0/1)","0% (0/1)","0% (0/1)","000000571694","*********"
"38VTL6WC4A86QHAYGM6F63ZRJ7MY5H","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:35:10 PDT 2019","","","3BXQMRHWK0TP3Z9TOMVD840NG6BMUB","A304UJAE051J89","Approved","Fri Apr 26 16:15:30 PDT 2019","Fri Apr 26 16:23:44 PDT 2019","Fri May 03 16:23:44 PDT 2019","Fri Apr 26 20:38:09 PDT 2019","","","494","100% (1/1)","100% (1/1)","100% (1/1)","000000548875","883dc499-2096-77a5-3bff-391b51f5729d"
"38VTL6WC4A86QHAYGM6F63ZRJ7MY5H","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:35:10 PDT 2019","","","3DL65MZB8EAV5H0GLXMU1Q980W7ECI","A66I5CGTSAXGD","Rejected","Thu Apr 25 22:17:57 PDT 2019","Thu Apr 25 23:10:26 PDT 2019","Thu May 02 23:10:26 PDT 2019","","Fri Apr 26 09:08:49 PDT 2019","You did not follow the instructions or you were not instructing the chatbot to perform image edits.","3149","0% (0/1)","0% (0/1)","0% (0/1)","000000548875","2777818e-1361-871d-3c7c-e3f4c35869bd"
"38VTL6WC4A86QHAYGM6F63ZRJ7MY5H","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:35:10 PDT 2019","","","3Q5C1WP23NWBMVXPUZ47G0K4J9H51O","AWLFDA1IVR1L0","Rejected","Fri Apr 26 10:01:02 PDT 2019","Fri Apr 26 10:31:34 PDT 2019","Fri May 03 10:31:34 PDT 2019","","Fri Apr 26 11:35:10 PDT 2019","Survey code is not valid","1832","0% (0/1)","0% (0/1)","0% (0/1)","000000548875","1Z6A34Y6YN58246571"
"3XEIP58NL0IKXWNO4VO51Z4QBRQZLX","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","1","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Thu May 02 19:57:50 PDT 2019","","","340UGXU9DZW8TM322EW4V0J07RZUVW","AFXF851Z4SWXM","Approved","Thu Apr 25 20:45:45 PDT 2019","Thu Apr 25 21:36:04 PDT 2019","Thu May 02 21:36:04 PDT 2019","Fri Apr 26 08:41:23 PDT 2019","","","3019","100% (1/1)","100% (1/1)","100% (1/1)","000000547662","cb0b51c4-5f78-7645-93eb-b50155f650ee"
"34R0BODSP1U8KCT7GLULZ07B1VI5EA","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:08:49 PDT 2019","","","3SITXWYCNW4L1CZR22GREVOXYIWXBJ","A3BD596A2NNN72","Rejected","Fri Apr 26 00:03:21 PDT 2019","Fri Apr 26 00:12:11 PDT 2019","Fri May 03 00:12:11 PDT 2019","","Fri Apr 26 09:08:48 PDT 2019","You did not follow the instructions or you were not instructing the chatbot to perform image edits.","530","0% (0/1)","0% (0/1)","0% (0/1)","000000536127","20aee03a-c069-3db4-ff41-425ec3b31b07"
"34R0BODSP1U8KCT7GLULZ07B1VI5EA","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","2","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 09:08:49 PDT 2019","","","3Z7EFSHGNA94BHRXG2CMPFUFG7ACXR","A3U2UNSYDPS933","Approved","Fri Apr 26 13:06:29 PDT 2019","Fri Apr 26 14:02:39 PDT 2019","Fri May 03 14:02:39 PDT 2019","Fri Apr 26 14:24:38 PDT 2019","","","3370","100% (1/1)","100% (1/1)","100% (1/1)","000000536127","310df52f-afb0-df56-768c-39c30623f2b8"
"33EEIIWHK72EF9YRV37YXFQOXM7VQI","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","1","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Thu May 02 19:57:50 PDT 2019","","","32EYX73OY14G0FMLTURUU3UXMMKUR3","A3T1HT3DMZBDWW","Approved","Thu Apr 25 23:46:57 PDT 2019","Thu Apr 25 23:57:05 PDT 2019","Thu May 02 23:57:05 PDT 2019","Fri Apr 26 08:35:51 PDT 2019","","","608","100% (1/1)","100% (1/1)","100% (1/1)","000000523495","9c87a47d-3115-45ed-6ffc-0f2dbc22aa65"
"3S1L4CQSFX0XWW5K6S58PT8X5AYAF3","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","1","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Thu May 02 19:57:50 PDT 2019","","","3VA45EW49OIXU537ZE06P6KV0181O5","A2DLH5XGBNYXWS","Approved","Thu Apr 25 21:10:39 PDT 2019","Thu Apr 25 21:24:51 PDT 2019","Thu May 02 21:24:51 PDT 2019","Fri Apr 26 08:40:43 PDT 2019","","","852","100% (1/1)","100% (1/1)","100% (1/1)","000000520883","da7f1dc5-0cbb-817b-1aeb-fb94f156a9df"
"3OKP4QVBP2S3AW1FHCBQ7E896PYAG2","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","1","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Thu May 02 19:57:50 PDT 2019","","","39O5D9O87UNSVJKJWD5YIZ5B9723C1","A3EONBMLL77S7P","Approved","Thu Apr 25 21:03:34 PDT 2019","Thu Apr 25 21:46:59 PDT 2019","Thu May 02 21:46:59 PDT 2019","Fri Apr 26 08:39:39 PDT 2019","","","2605","100% (1/1)","100% (1/1)","100% (1/1)","000000514295","aad4a505-8135-6509-2af9-6a747248dabd"
"3MNJFORX8BZ0QQT3BWERHISBDWX5FS","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:46:34 PDT 2019","","","36NEMU28XG82V3YYJMAEQSLK1FQMW0","A247NH2O6XIL28","Rejected","Thu Apr 25 23:11:53 PDT 2019","Thu Apr 25 23:19:32 PDT 2019","Thu May 02 23:19:32 PDT 2019","","Fri Apr 26 09:08:49 PDT 2019","You did not follow the instructions or you were not instructing the chatbot to perform image edits.","459","0% (0/1)","0% (0/1)","0% (0/1)","000000476347","e941f139-4273-521c-5158-adf15974d4f0"
"3MNJFORX8BZ0QQT3BWERHISBDWX5FS","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:46:34 PDT 2019","","","3Z7VU45IPZC9T9HE1NBN54RZK9KZ1M","A9IUJ7JBX9LXI","Rejected","Fri Apr 26 11:07:47 PDT 2019","Fri Apr 26 11:35:34 PDT 2019","Fri May 03 11:35:34 PDT 2019","","Fri Apr 26 11:46:34 PDT 2019","Invalid survey code","1667","50% (1/2)","0% (0/1)","0% (0/1)","000000476347","NA"
"3MNJFORX8BZ0QQT3BWERHISBDWX5FS","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","3","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Fri May 03 11:46:34 PDT 2019","","","3ZWFC4W1UV2RHXPVY5WV83TUC7JFRJ","A781V32B5WDX6","Approved","Fri Apr 26 23:30:54 PDT 2019","Fri Apr 26 23:35:32 PDT 2019","Fri May 03 23:35:32 PDT 2019","Sat Apr 27 07:46:11 PDT 2019","","","278","100% (1/1)","100% (1/1)","100% (1/1)","000000476347","3dd11366-a4f4-19b8-9046-f21e6e0419ee"
"386T3MLZLNQSG4XF6C29QVFY9K980T","3IF0VZGELQB59V8MF42HU8J8UREM7I","Talk to chatbot to edit image - Pilot","Instruct chatbots to perform image editing and answer questions","chatbot, image editing, survey","$0.40","Thu Apr 25 19:57:50 PDT 2019","1","BatchId:3621254;OriginalHitTemplateId:928390845;","3600","604800","Thu May 02 19:57:50 PDT 2019","","","3JRJSWSMQIG7SH4XS4BT8N5EUKB3ES","A1C7XI68SED8JE","Approved","Thu Apr 25 23:47:46 PDT 2019","Fri Apr 26 00:12:56 PDT 2019","Fri May 03 00:12:56 PDT 2019","Fri Apr 26 08:36:50 PDT 2019","","","1510","100% (1/1)","100% (1/1)","100% (1/1)","000000473588","9aae1ea4-bee2-1461-9ad3-d1fa9371ad00"